SHIP,SURVEY,STATION,EVENT_ID,GEAR,NETINWATER,EQ_TIME,EQ_LATITUDE,EQ_LONGITUDE,HB_TIME,HB_LATITUDE,HB_LONGITUDE,NETOUTOFWATER,DOORSOUT,DO_LATITUDE,DO_LONGITUDE,AVG_NET_VERT_OPENING,AVG_NET_HORI_OPENING,AVG_HEAD_ROPE_DEPTH,AVG_TRAWL_WIRE_OUT,BOTTOM_DEPTH_END,BOTTOM_DEPTH_START,EVENT_TYPE,PERFORMANCE_CODE,COMMENTS
135,202301,46,230,CTD,,09152023 23:23:11.381,64.0986,-164.4877,09152023 23:24:24.409,64.0986,-164.4885,,,,,,,,,,,51,0,
135,202301,45,229,CanTrawl,,09152023 20:31:13.149,64.0991,-163.5385,09152023 21:01:14.133,64.0993,-163.6273,,09152023 20:25:47.725,64.0988,-163.5186,19.31,49.74,,330,20,20,50,0,
135,202301,45,228,3m Beam Trawl,09152023 20:03:37.973,09152023 20:05:21.274,64.0995,-163.4819,09152023 20:10:21.946,64.0973,-163.4862,09152023 20:14:52.464,,,,,,,140,20,20,3,0,
135,202301,45,227,Bongo,09152023 19:56:45.352,09152023 19:57:48.822,64.101,-163.4738,,,,09152023 19:58:42.104,,,,,,,,,,11,0,
135,202301,45,226,Benthic Grab,,09152023 19:53:08.521,64.0991,-163.4733,,,,,,,,,,,,20,20,56,0,
135,202301,45,225,CTD,,09152023 19:47:59.453,64.0991,-163.4722,09152023 19:49:25.123,64.0991,-163.4725,,,,,,,,,,,51,0,
135,202301,44,224,CanTrawl,,09152023 16:46:42.782,64.0964,-162.5284,09152023 17:16:44.235,64.0924,-162.6151,,,,,18.37,46.5,,330,17,16,50,0,
135,202301,44,223,3m Beam Trawl,09152023 16:14:14.210,09152023 16:17:21.066,64.1008,-162.4947,09152023 16:22:21.164,64.1004,-162.5017,09152023 16:25:19.665,,,,,,,120,16,16,3,0,
135,202301,44,222,Bongo,09152023 16:08:12.554,09152023 16:09:23.210,64.0998,-162.486,,,,09152023 16:10:16.715,,,,,,,,,,11,0,
135,202301,44,221,Benthic Grab,,09152023 16:04:24.256,64.0992,-162.4884,,,,,,,,,,,,16,16,56,0,
135,202301,44,220,CTD,,09152023 15:59:40.542,64.0996,-162.4871,09152023 16:00:58.088,64.0995,-162.4875,,,,,,,,,,,51,0,
135,202301,43,219,CanTrawl,,09142023 23:38:22.816,64.0005,-165.9792,09152023 00:08:24.593,63.9847,-165.9205,,,,,18.36,49.64,,330,17,17,50,0,
135,202301,43,218,3m Beam Trawl,09142023 23:06:00.617,09142023 23:08:38.056,64.0095,-166.0014,09142023 23:13:38.532,64.0118,-165.9986,09142023 23:23:15.778,,,,,,,130,17,17,3,0,
135,202301,43,217,Bongo,09142023 23:00:00.915,09142023 23:01:05.118,64.0058,-166.008,,,,09142023 23:01:55.932,,,,,,,,,,11,0,
135,202301,43,216,Benthic Grab,,09142023 22:55:29.813,64.0039,-166.0093,,,,,,,,,,,,17,17,56,0,
135,202301,42,215,CTD,,09142023 22:49:00.433,64.0034,-166.0069,09142023 22:51:03.306,64.0035,-166.0074,,,,,,,,,,,51,0,
135,202301,42,214,3m Beam Trawl,,09142023 20:23:10.488,64.2538,-166.5089,09142023 20:28:11.640,64.2513,-166.5076,,,,,,,,150,22,22,3,0,
135,202301,42,213,Benthic Grab,,09142023 20:17:56.602,64.2566,-166.5117,,,,,,,,,,,,22,22,56,0,
135,202301,,212,CTD,,09142023 20:09:57.054,64.255,-166.5099,09142023 20:12:08.743,,,,,,,,,,,,,0,0,
135,202301,,211,CTD,,09142023 20:02:54.972,,,,,,,,,,,,,,,,0,0,
135,202301,41,210,CanTrawl,,09142023 17:18:56.808,64.4845,-166.9747,09142023 17:49:00.732,64.4606,-166.9285,,09142023 17:11:07.450,64.4921,-166.9891,21.5,50.14,,330,22,22,50,0,
135,202301,41,209,3m Beam Trawl,09142023 16:39:52.146,09142023 16:43:54.003,64.5069,-167.0106,09142023 16:53:54.586,64.5022,-167.0064,09142023 16:58:29.498,,,,,,,160,22,22,3,0,
135,202301,41,208,3m Beam Trawl,09142023 16:16:31.803,09142023 16:20:26.018,64.5117,-167.0068,09142023 16:25:26.994,64.51,-167.0038,09142023 16:30:18.864,,,,,,,160,21,21,3,0,
135,202301,41,207,Bongo,09142023 16:10:59.974,09142023 16:12:05.414,64.513,-167.0129,,,,09142023 16:13:00.346,,,,,,,,,,11,0,
135,202301,41,206,Benthic Grab,,09142023 16:06:36.412,64.5098,-167.0142,,,,,,,,,,,,21,21,56,0,
135,202301,41,205,CTD,,09142023 16:00:51.453,64.5085,-167.0125,09142023 16:03:16.955,64.5091,-167.0132,,,,,,,,,,,51,0,
135,202301,40,204,CanTrawl,,09142023 02:00:30.712,64.9795,-167.5369,09142023 02:30:35.133,64.9673,-167.6105,,09142023 01:51:51.732,64.9831,-167.5122,20.68,41.5,,330,28,23,50,0,
135,202301,40,203,3m Beam Trawl,,09142023 00:51:51.868,65.0008,-167.5046,09142023 00:56:52.951,65.004,-167.5067,,,,,,,,150,23,23,3,0,
135,202301,40,202,Bongo,09142023 00:42:09.105,09142023 00:43:29.784,64.9955,-167.5042,,,,09142023 00:44:23.718,,,,,,,,,,11,0,
135,202301,40,201,Benthic Grab,,09142023 00:38:31.946,64.9945,-167.5073,,,,,,,,,,,,23,23,56,0,
135,202301,40,200,CTD,,09142023 00:32:18.245,64.9924,-167.5067,09142023 00:34:44.814,64.9933,-167.5069,,,,,,,,,,,51,0,
135,202301,39,199,CanTrawl,,09132023 20:53:09.589,64.5006,-167.9968,09132023 21:23:12.319,64.5262,-167.9392,,09132023 20:45:37.431,64.4928,-168.0149,19.9,42.69,,330,31,31,50,0,
135,202301,39,198,3m Beam Trawl,09132023 20:16:49.849,09132023 20:21:47.662,64.4941,-168.0283,09132023 20:26:47.861,64.492,-168.0307,09132023 20:33:10.984,,,,,,,220,31,31,3,0,
135,202301,39,197,Bongo,,09132023 20:11:56.994,64.4985,-168.0284,,,,,,,,,,,,,,11,0,
135,202301,39,196,Benthic Grab,,09132023 20:07:44.466,64.4984,-168.0341,,,,,,,,,,,,31,31,56,0,
135,202301,39,195,CTD,,09132023 19:59:56.984,64.4968,-168.0349,09132023 20:03:14.652,64.4972,-168.0344,,,,,,,,,,,51,0,
135,202301,38,194,CanTrawl,,09132023 16:57:09.076,64.4989,-168.9761,09132023 17:27:12.641,64.4992,-168.8965,,09132023 16:49:57.491,64.4985,-169,22,48.87,,330,37,37,50,0,
135,202301,38,193,3m Beam Trawl,09132023 16:20:31.740,09132023 16:25:16.281,64.5008,-169.0081,09132023 16:30:16.812,64.4985,-169.0075,09132023 16:38:33.571,,,,,,,300,37,37,3,0,
135,202301,38,192,Bongo,09132023 16:12:30.973,09132023 16:13:57.405,64.5057,-169.0144,,,,09132023 16:15:28.021,,,,,,,,,,11,0,
135,202301,38,191,Benthic Grab,,09132023 16:07:57.351,64.5041,-169.02,,,,,,,,,,,,37,37,56,0,
135,202301,38,190,CTD,,09132023 15:59:52.267,64.5026,-169.0201,09132023 16:03:43.933,64.5034,-169.02,,,,,,,,,,,51,0,
135,202301,37,189,CanTrawl,,09132023 01:21:57.232,64.0031,-168.9996,09132023 01:36:58.481,64.0188,-168.9897,,09132023 01:15:33.097,63.9941,-169.005,22.5,44,,330,30,30,50,0,haul back early due to jellyfish
135,202301,37,188,3m Beam Trawl,09132023 00:46:25.561,09132023 00:51:03.745,63.9917,-168.9985,09132023 00:56:04.003,63.9903,-169.003,09132023 01:03:18.627,,,,,,,230,30,30,3,0,
135,202301,37,187,Bongo,09132023 00:40:21.257,09132023 00:40:51.489,63.9964,-168.9855,,,,09132023 00:42:14.793,,,,,,,,,,11,0,
135,202301,37,186,Benthic Grab,,09132023 00:33:55.695,63.9991,-168.9819,,,,,,,,,,,,29,29,56,0,
135,202301,37,185,CTD,,09132023 00:26:00.804,63.9995,-168.9835,09132023 00:28:45.049,63.9993,-168.9829,,,,,,,,,,,51,0,
135,202301,36,184,CanTrawl,,09122023 21:16:38.396,63.9941,-168.0256,09122023 21:46:41.782,63.9905,-168.1008,,,,,19.97,50.53,,330,31,31,50,0,
135,202301,36,183,3m Beam Trawl,09122023 20:39:19.200,09122023 20:43:48.252,63.9913,-167.9837,09122023 20:48:48.576,63.9895,-167.987,09122023 20:58:58.888,,,,,,,230,31,31,3,0,net out of water late
135,202301,36,182,Bongo,09122023 20:31:56.125,09122023 20:33:03.552,63.9965,-167.9732,,,,09122023 20:34:14.901,,,,,,,,,,11,0,
135,202301,36,181,Benthic Grab,,09122023 20:24:14.108,63.9988,-167.9728,,,,,,,,,,,,31,31,56,0,
135,202301,36,180,CTD,,09122023 20:17:53.436,63.9995,-167.9746,09122023 20:20:50.507,63.9991,-167.974,,,,,,,,,,,51,0,
135,202301,35,179,CanTrawl,,09122023 17:08:04.422,63.999,-167.0167,09122023 17:38:06.875,63.9971,-167.0943,,,,,21.65,49.85,,330,28,28,50,0,
135,202301,35,178,3m Beam Trawl,09122023 16:14:36.051,09122023 16:19:03.772,63.9975,-166.9938,09122023 16:22:06.733,63.9976,-166.9969,09122023 16:28:07.767,,,,,,,200,28,28,3,0,short tow due to expected large catch of sand dollars
135,202301,35,177,Bongo,09122023 16:07:10.557,09122023 16:08:27.877,63.9976,-166.9801,,,,09122023 16:09:32.394,,,,,,,,,,11,0,
135,202301,35,176,Benthic Grab,,09122023 16:02:48.540,63.9998,-166.9794,,,,,,,,,,,,28,28,56,0,
135,202301,35,175,CTD,,09122023 15:56:07.554,64,-166.9811,09122023 15:58:57.851,63.9999,-166.9803,,,,,,,,,,,51,0,
135,202301,34,174,CanTrawl,,09122023 00:40:26.326,63.5182,-168.0313,09122023 01:10:29.187,63.5437,-168.088,,09122023 00:33:42.446,63.5112,-168.0156,20.73,43.23,,330,28,28,50,0,
135,202301,34,173,3m Beam Trawl,09122023 00:02:44.318,09122023 00:07:19.052,63.4981,-167.9828,09122023 00:12:19.764,63.4985,-167.9883,09122023 00:17:33.461,,,,,,,200,28,28,3,0,
135,202301,34,172,Bongo,09112023 23:56:24.431,09112023 23:57:44.355,63.4982,-167.9683,,,,09112023 23:58:57.287,,,,,,,,,,11,0,
135,202301,34,171,Benthic Grab,,09112023 23:52:03.175,63.4995,-167.9656,,,,,,,,,,,,28,28,56,0,
135,202301,34,170,CTD,,09112023 23:46:06.983,63.4995,-167.9665,09112023 23:48:58.231,63.4994,-167.9661,,,,,,,,,,,51,0,
135,202301,33,169,CanTrawl,,09112023 20:45:06.684,63.4978,-167.0422,09112023 21:05:09.562,63.497,-167.0915,,,,,22.5,41.5,,330,22,22,50,0,Early haulback due to jellyfish
135,202301,33,168,3m Beam Trawl,09112023 20:12:59.361,09112023 20:15:47.737,63.4968,-166.9745,09112023 20:20:57.510,63.4975,-166.9798,09112023 20:25:35.345,,,,,,,150,22,22,3,0,
135,202301,33,167,Bongo,09112023 20:06:06.256,09112023 20:07:09.681,63.4978,-166.9673,,,,09112023 20:08:15.303,,,,,,,,,,11,0,
135,202301,33,166,Benthic Grab,,09112023 20:01:53.118,63.4996,-166.9703,,,,,,,,,,,,22,22,56,0,
135,202301,33,165,CTD,,09112023 19:55:06.533,63.4998,-166.9715,09112023 19:57:42.513,63.4997,-166.971,,,,,,,,,,,51,0,
135,202301,32,164,CanTrawl,,09112023 16:47:32.226,63.5002,-166.0367,09112023 17:17:34.143,63.4975,-166.1151,,09112023 16:39:58.808,63.5008,-166.0123,22.5,51.34,,330,20,20,50,0,
135,202301,32,163,3m Beam Trawl,09112023 16:15:29.179,09112023 16:18:10.457,63.4988,-165.9719,09112023 16:23:15.324,63.4967,-165.9752,09112023 16:26:46.632,,,,,,,,20,20,3,0,
135,202301,32,162,Bongo,09112023 16:08:32.734,09112023 16:09:20.258,63.5044,-165.9643,,,,09112023 16:10:24.458,,,,,,,,,,11,0,
135,202301,32,161,Benthic Grab,,09112023 16:05:01.406,63.5057,-165.9632,,,,,,,,,,,,20,20,56,0,
135,202301,32,160,CTD,,09112023 15:58:47.543,63.5049,-165.9638,09112023 16:01:26.855,63.5052,-165.9636,,,,,,,,,,,51,0,
135,202301,31,159,CanTrawl,,09112023 01:38:00.825,63.0156,-166.005,09112023 02:08:04.464,63.0533,-166.0046,,,,,18.2,51,,330,16,16,50,0,
135,202301,31,158,3m Beam Trawl,09112023 01:08:12.876,09112023 01:11:09.413,62.9869,-166.0165,09112023 01:16:11.246,62.9893,-166.011,09112023 01:19:25.896,,,,,,,130,16,16,3,0,
135,202301,31,157,Bongo,09112023 01:02:04.742,09112023 01:03:18.658,62.9846,-166.0244,,,,09112023 01:04:22.069,,,,,,,,,,11,0,
135,202301,31,156,Benthic Grab,,09112023 00:57:23.195,62.9864,-166.0252,,,,,,,,,,,,16,16,56,0,
135,202301,31,155,CTD,,09112023 00:53:31.897,62.9859,-166.0263,,,,,,,,,,,,,,51,0,
135,202301,30,154,CanTrawl,,09102023 21:38:31.721,62.9997,-166.9732,09102023 22:08:37.239,63.0018,-166.9015,,,,,19.89,51.24,,330,22,22,50,0,
135,202301,30,153,3m Beam Trawl,09102023 21:05:22.811,09102023 21:08:41.279,62.9938,-167.034,09102023 21:13:41.598,62.9947,-167.0284,09102023 21:18:20.198,,,,,,,160,22,22,3,0,
135,202301,30,152,Bongo,09102023 20:58:51.728,09102023 20:59:44.587,62.9922,-167.0392,,,,09102023 21:00:59.714,,,,,,,,,,11,0,
135,202301,30,151,Benthic Grab,,09102023 20:49:29.247,62.9944,-167.037,,,,,,,,,,,,22,22,56,0,
135,202301,30,150,CTD,,09102023 20:43:13.302,62.9953,-167.0387,09102023 20:46:18.203,62.9948,-167.0378,,,,,,,,,,,51,0,
135,202301,29,149,CanTrawl,,09102023 16:56:07.618,62.5046,-166.9991,09102023 17:26:11.171,62.5347,-167.0037,,,,,21.39,50.16,,329,29,29,50,0,
135,202301,29,148,3m Beam Trawl,09102023 16:18:27.940,09102023 16:23:10.741,62.4789,-166.997,09102023 16:28:12.700,62.4812,-166.9952,09102023 16:34:10.731,,,,,,,210,28,28,3,0,
135,202301,29,147,Bongo,09102023 16:11:46.737,09102023 16:12:43.328,62.4752,-166.9951,,,,09102023 16:14:19.712,,,,,,,,,,11,0,
135,202301,29,146,Benthic Grab,,09102023 16:06:39.216,62.4767,-166.9906,,,,,,,,,,,,28,28,56,0,
135,202301,29,145,CTD,,09102023 15:59:02.399,62.4788,-166.9914,09102023 16:02:19.212,62.4779,-166.991,,,,,,,,,,,51,0,
135,202301,28,144,CanTrawl,,09092023 01:37:05.973,62.5122,-167.9888,09092023 02:07:23.895,62.5445,-167.9484,,09092023 01:28:40.018,62.5018,-168.0015,22.85,50.51,,330,24,24,50,0,
135,202301,28,143,3m Beam Trawl,09092023 01:01:07.729,09092023 01:04:28.376,62.4824,-168.0147,09092023 01:09:29.036,62.4851,-168.0151,09092023 01:14:49.665,,,,,,,,24,24,3,0,
135,202301,28,142,Bongo,,09092023 00:54:57.522,62.4768,-168.0118,,,,,,,,,,,,,,11,0,
135,202301,28,141,Benthic Grab,,09092023 00:50:02.649,62.4752,-168.0087,,,,,,,,,,,,24,24,56,0,
135,202301,28,140,CTD,,09092023 00:45:08.459,62.475,-168.0088,09092023 00:45:09.314,62.475,-168.0088,,,,,,,,,,,51,0,
135,202301,27,139,CanTrawl,,09082023 21:21:14.999,62.502,-168.9912,09082023 21:35:16.918,62.5029,-168.9636,,,,,24,46.07,,330,27,27,50,0,STARTEEE HB EARLY DUE TO JELLY
135,202301,27,138,3m Beam Trawl,09082023 20:46:31.855,09082023 20:51:23.120,62.4974,-169.0314,09082023 20:54:42.248,62.4987,-169.035,09082023 21:01:39.998,,,,,,,,27,27,3,0,
135,202301,27,137,Bongo,09082023 20:39:30.682,09082023 20:40:31.830,62.4919,-169.0178,,,,09082023 20:41:41.797,,,,,,,,,,11,0,
135,202301,27,136,Benthic Grab,,09082023 20:33:10.443,62.4914,-169.0123,,,,,,,,,,,,27,27,56,0,
135,202301,27,135,CTD,,09082023 20:26:53.136,62.4918,-169.0096,09082023 20:28:54.213,62.4917,-169.0106,,,,,,,,,,,51,0,
135,202301,26,134,CanTrawl,,09082023 16:58:04.789,62.4982,-169.985,09082023 17:28:07.967,62.4964,-169.9143,,09082023 16:50:03.153,62.4984,-170.0086,22.67,52.84,,330,31,31,50,0,
135,202301,26,133,3m Beam Trawl,09082023 16:18:57.795,09082023 16:22:15.093,62.4815,-169.9877,09082023 16:27:16.047,62.4826,-169.9925,09082023 16:34:00.391,,,,,,,,31,31,3,0,Net in water ~2 minutes late.
135,202301,26,132,Bongo,09082023 16:11:05.260,09082023 16:12:21.340,62.4782,-169.9755,,,,09082023 16:13:39.325,,,,,,,,,,11,0,
135,202301,26,131,Benthic Grab,,09082023 16:05:25.702,62.4776,-169.9706,,,,,,,,,,,,31,31,56,0,
135,202301,26,130,CTD,,09082023 15:57:04.412,62.4793,-169.9722,09082023 15:59:29.027,62.4788,-169.9716,,,,,,,,,,,51,0,
135,202301,25,129,CanTrawl,,09082023 02:44:05.537,62.508,-170.9862,09082023 03:14:09.147,62.5076,-170.9069,,09082023 02:36:49.309,62.5082,-171.0099,22.57,51.53,,330,38,38,50,0,
135,202301,25,128,3m Beam Trawl,09082023 02:02:53.319,09082023 02:09:01.037,62.4984,-171.0255,09082023 02:19:03.621,62.5024,-171.029,09082023 02:27:14.219,,,,,,,,38,38,3,0,
135,202301,25,127,Bongo,09082023 01:55:27.558,09082023 01:56:46.189,62.4927,-171.0191,,,,09082023 01:58:17.981,,,,,,,,,,11,0,
135,202301,25,126,Benthic Grab,,09082023 01:51:19.449,62.4914,-171.0163,,,,,,,,,,,,38,38,56,0,
135,202301,25,125,CTD,,09082023 01:41:13.330,62.4921,-171.0177,09082023 01:41:50.258,62.4922,-171.0179,,,,,,,,,,,51,0,
135,202301,24,124,CanTrawl,,09072023 21:55:05.559,,,09072023 22:25:05.659,62.0475,-170.9942,,09072023 21:47:31.722,62.0018,-170.9959,23.3,51.22,,330,45,45,50,0,EQ Lat - 62 00.89M N  EQ Lon - 170 59.70W 
135,202301,24,123,3m Beam Trawl,,09072023 21:14:22.746,61.9963,-170.9962,09072023 21:24:26.748,61.9994,-170.989,,,,,,,,,45,45,3,0,NO NETINWATER DUE TO SCS CRASH
135,202301,24,122,Bongo,09072023 21:00:51.674,09072023 21:02:03.176,,,,,,09072023 21:03:30.500,,,,,,,,,,11,0,scs server kept crashing due to mandatory virus scan.  match up lat/long from database after survey.
135,202301,24,121,Benthic Grab,,09072023 20:52:53.402,61.9871,-170.9945,,,,,,,,,,,,45,45,56,0,
135,202301,24,120,CTD,,09072023 20:46:25.643,61.986,-170.9905,09072023 20:52:12.467,,,,,,,,,,,,,51,0,
135,202301,,119,CTD,,09072023 20:45:09.282,,,,,,,,,,,,,,,,0,0,
135,202301,23,118,CanTrawl,,09072023 17:12:00.651,61.9948,-170.0293,09072023 17:42:46.143,61.9876,-170.1089,,09072023 17:07:23.447,61.9959,-170.0154,22.89,54.31,,330,39,39,50,0,
135,202301,23,117,3m Beam Trawl,09072023 16:30:50.612,09072023 16:32:03.834,62.0006,-170.0029,09072023 16:42:06.260,62.0037,-169.9985,09072023 16:50:04.294,,,,,,,,39,39,3,0,NET IIN WATER HIT LATE
135,202301,23,116,Bongo,09072023 16:17:45.980,09072023 16:19:10.521,61.9949,-170.0031,,,,09072023 16:20:30.592,,,,,,,,,,11,0,
135,202301,23,115,Benthic Grab,,09072023 16:07:06.204,61.9944,-169.9982,,,,,,,,,,,,39,39,56,-5,
135,202301,23,114,CTD,,09072023 15:57:54.467,61.9954,-169.9968,09072023 16:01:21.786,61.9953,-169.9971,,,,,,,,,,,51,0,
135,202301,22,113,CanTrawl,,09072023 03:58:07.707,61.9944,-169.005,09072023 04:28:12.899,61.9864,-169.0738,,09072023 03:52:19.756,61.9967,-168.9896,23.72,53.85,,330,32,32,50,0,
135,202301,22,112,3m Beam Trawl,09072023 03:18:51.295,09072023 03:23:46.285,62.003,-168.9876,09072023 03:28:48.978,62.0035,-168.9827,09072023 03:35:48.625,,,,,,,,32,32,3,0,
135,202301,22,111,Bongo,,09072023 03:03:34.611,62.0004,-168.9978,,,,,,,,,,,,,,11,0,
135,202301,22,110,Benthic Grab,,09072023 02:58:39.795,62.0003,-168.9958,,,,,,,,,,,,32,32,56,0,
135,202301,22,109,CTD,,09072023 02:52:37.559,62.0002,-168.995,09072023 02:52:38.339,62.0002,-168.995,,,,,,,,,,,51,0,
135,202301,21,108,CanTrawl,,09062023 22:13:54.298,61.9937,-168.0364,09062023 22:43:59.012,61.9822,-168.0952,,09062023 21:59:30.711,62.0003,-168.0101,23.47,51.72,,300,22,22,50,0,Took a while to get 3rd wire centered during set.
135,202301,21,107,3m Beam Trawl,09062023 21:33:50.251,09062023 21:37:58.783,61.9985,-167.9935,09062023 21:43:00.676,61.9998,-167.996,09062023 21:48:00.181,,,,,,,,22,22,3,0,
135,202301,21,106,Bongo,09062023 21:27:19.148,09062023 21:28:02.783,61.9961,-167.9854,,,,09062023 21:29:08.103,,,,,,,,,,11,0,
135,202301,21,105,Benthic Grab,,09062023 21:22:27.177,61.9973,-167.9821,,,,,,,,,,,,22,22,56,0,
135,202301,21,104,CTD,,09062023 21:15:48.464,61.9988,-167.9801,09062023 21:15:51.261,61.9988,-167.9801,,,,,,,,,,,51,0,
135,202301,20,103,CanTrawl,,09062023 17:06:00.863,62.0015,-167.0431,09062023 17:36:04.718,62.0024,-167.1183,,09062023 16:55:23.130,62.0014,-167.0172,21.94,51.07,,300,24,24,50,0,
135,202301,20,102,3m Beam Trawl,09062023 16:26:42.532,09062023 16:30:34.395,61.9969,-167.0272,09062023 16:35:39.783,61.9986,-167.0307,09062023 16:41:12.300,,,,,,,,24,24,3,0,
135,202301,20,101,Bongo,09062023 16:19:53.814,09062023 16:20:11.813,61.994,-167.0178,,,,09062023 16:21:23.003,,,,,,,,,,11,0,
135,202301,20,100,Benthic Grab,,09062023 16:13:09.689,61.9956,-167.0139,,,,,,,,,,,,24,24,56,0,
135,202301,20,99,CTD,,09062023 16:01:52.011,61.9976,-167.0093,09062023 16:03:51.570,61.9973,-167.0102,,,,,,,,,,,51,0,
135,202301,19,98,CanTrawl,,09062023 01:51:20.892,61.5138,-166.9963,09062023 02:21:25.560,61.5484,-166.9927,,,,,21.69,50.81,,250,18,18,50,0,
135,202301,19,97,3m Beam Trawl,09062023 01:21:12.124,09062023 01:24:14.826,61.4969,-167.0178,09062023 01:29:15.816,61.499,-167.0207,09062023 01:32:45.370,,,,,,,,15,15,3,0,
135,202301,19,96,Bongo,09062023 01:15:13.902,09062023 01:16:06.346,61.4955,-167.0124,,,,09062023 01:16:57.433,,,,,,,,,,11,0,
135,202301,19,95,Benthic Grab,,09062023 01:10:08.877,61.4975,-167.0117,,,,,,,,,,,,18,18,56,0,
135,202301,19,94,CTD,,09062023 01:03:48.266,61.499,-167.0136,09062023 01:04:39.226,61.4988,-167.0132,,,,,,,,,,,51,0,
135,202301,18,93,CanTrawl,,09052023 21:52:03.007,61.5122,-167.9823,09052023 22:22:06.411,61.5129,-167.8978,,09052023 21:44:36.734,61.5117,-168.0068,23.28,52.89,,300,23,23,50,0,
135,202301,18,92,3m Beam Trawl,09052023 21:17:12.177,09052023 21:21:59.970,61.5139,-168.0404,09052023 21:27:01.769,61.5157,-168.0435,09052023 21:30:49.976,,,,,,,,23,23,3,0,
135,202301,18,91,3m Beam Trawl,09052023 21:00:39.620,09052023 21:03:32.434,61.5028,-168.0325,09052023 21:08:33.230,61.5054,-168.0339,09052023 21:13:25.856,,,,,,,,23,23,3,-6,Net in water hit late by about 2min
135,202301,18,90,Bongo,09052023 20:51:10.621,09052023 20:52:04.904,61.4979,-168.0255,,,,09052023 20:53:01.730,,,,,,,,,,11,0,
135,202301,18,89,Benthic Grab,,09052023 20:46:42.897,61.4988,-168.0241,,,,,,,,,,,,23,23,56,0,
135,202301,18,88,CTD,,09052023 20:39:51.128,61.4993,-168.024,09052023 20:40:48.329,61.4992,-168.0241,,,,,,,,,,,51,0,
135,202301,17,87,CanTrawl,,09052023 16:54:04.402,61.5019,-169.0128,09052023 17:24:08.694,61.5111,-168.9566,,09052023 16:46:50.311,61.4992,-169.0303,21.27,52.22,,330,31,30,50,0,
135,202301,17,86,3m Beam Trawl,09052023 16:18:50.579,09052023 16:23:22.238,61.4918,-169.0368,09052023 16:28:52.265,61.4926,-169.0428,09052023 16:34:29.540,,,,,,,,30,30,3,0,
135,202301,17,85,Bongo,09052023 16:11:25.430,09052023 16:12:31.020,61.4928,-169.023,,,,09052023 16:14:08.795,,,,,,,,,,11,0,
135,202301,17,84,Benthic Grab,,09052023 16:06:23.604,61.495,-169.0212,,,,,,,,,,,,30,30,56,0,
135,202301,17,83,CTD,,09052023 15:58:21.775,61.497,-169.0201,09052023 16:00:21.266,61.4966,-169.0202,,,,,,,,,,,51,0,
135,202301,16,82,CanTrawl,,09052023 02:10:14.534,61.4978,-169.997,09052023 02:40:19.245,61.5089,-169.9311,,09052023 02:04:23.362,61.4952,-170.0127,21.99,52.41,,330,43,43,50,0,
135,202301,16,81,3m Beam Trawl,09052023 01:25:56.006,09052023 01:31:25.691,61.4873,-170.0131,09052023 01:41:27.418,61.4852,-170.0197,09052023 01:49:07.153,,,,,,,,43,43,3,0,
