StationID,EventCode,LME,SampleYear,CruiseID,VesselCode,StationNumber,MasterStationName,GearCode,Gear Description,Tow Type,TrawlPerformance,HaulDate,GearInTime,EQTime,HaulbackTime,GearOUtTime,Gear In Latitude,EQ Latitude,Haulback Latitude,GearOut Latitude,Gear In Longitude,EQ Longitude,Haulback Longitude,GearOut Longitude,Speed,Gear Depth,Bottom DepthStart,BottomDepthEnd,AvgNetHorizontalOpening,HorizSpreadEstimate,AvgNetVerticalOpening,VertSpreadEstimate,MWO,Notes,BSIERP_Region_Code,Oceanographic_Domain_Code
19960401011,03,Gulf of Alaska,1996,1GP96,04,11,56-135.5,400580,,S,G/S,7/23/1996,,7/23/1996,7/23/1996,,,55.9,55.86666667,,,-135.6166667,-135.7333333,,,,,,,FALSE,,FALSE,,,0,0
19960401012,03,Gulf of Alaska,1996,1GP96,04,12,55.75-136.25,400580,,S,G/S,7/23/1996,,7/23/1996,7/24/1996,,,55.76666667,55.73333333,,,-136.1833333,-136.3,,,,,,,FALSE,,FALSE,,,0,0
19960401013,03,Gulf of Alaska,1996,1GP96,04,13,56-135.75,400580,,S,G/S,7/24/1996,,7/24/1996,7/24/1996,,,55.88333333,55.91666667,,,-135.7166667,-135.6,,,,,,,FALSE,,FALSE,,,0,0
19960401014,03,Gulf of Alaska,1996,1GP96,04,14,57-136,400580,,S,G/S,7/24/1996,,7/24/1996,7/24/1996,,,56.98333333,56.45,,,-135.8833333,-136.0166667,,,,,,,FALSE,,FALSE,,,0,0
19960401015,03,Gulf of Alaska,1996,1GP96,04,15,56-136,400580,,S,G/S,7/24/1996,,7/24/1996,7/24/1996,,,55.95,56.9,,,-136.0166667,-136.15,,,,,,,FALSE,,FALSE,,,0,0
19960401016,03,Gulf of Alaska,1996,1GP96,04,16,56.75-136.25,400580,,S,G/S,7/24/1996,,7/24/1996,7/24/1996,,,56.86666667,56.81666667,,,-136.2833333,-136.4166667,,,,,,,FALSE,,FALSE,,,0,0
19960401017,03,Gulf of Alaska,1996,1GP96,04,17,56.75-137,400580,,S,G/S,7/25/1996,,7/25/1996,7/25/1996,,,56.63333333,56.61666667,,,-137.05,-137.1833333,,,,,,,FALSE,,FALSE,,,0,0
19960401018,03,Gulf of Alaska,1996,1GP96,04,18,58.25-136.75,400580,,S,G/S,7/25/1996,,7/25/1996,7/25/1996,,,58.18333333,58.13333333,,,-136.7,-136.7833333,,,,,,,FALSE,,FALSE,,,0,0
19960401019,03,Gulf of Alaska,1996,1GP96,04,19,58-136.75,400580,,S,G/S,7/25/1996,,7/25/1996,7/25/1996,,,58.11666667,58.08333333,,,-136.8166667,-136.9,,,,,,,FALSE,,FALSE,,,0,0
19960401020,03,Gulf of Alaska,1996,1GP96,04,20,58-137.5,400580,,S,G/S,7/25/1996,,7/25/1996,7/25/1996,,,57.93333333,57.88333333,,,-137.6166667,-137.65,,,,,,,FALSE,,FALSE,,,0,0
19960401021,03,Gulf of Alaska,1996,1GP96,04,21,57.75-138.25,400580,,S,G/S,7/26/1996,,7/26/1996,7/26/1996,,,57.66666667,57.63333333,,,-138.3333333,-138.45,,,,,,,FALSE,,FALSE,,,0,0
19960401022,03,Gulf of Alaska,1996,1GP96,04,22,58.25-136.75,400580,,S,G/S,7/26/1996,,7/26/1996,7/26/1996,,,58.18333333,58.15,,,-136.7,-136.85,,,,,,,FALSE,,FALSE,,,0,0
19960401023,03,Gulf of Alaska,1996,1GP96,04,23,58-137.5,400580,,S,G/S,7/26/1996,,7/26/1996,7/26/1996,,,57.93333333,57.88333333,,,-137.5666667,-137.7,,,,,,,FALSE,,FALSE,,,0,0
19960401024,03,Gulf of Alaska,1996,1GP96,04,24,57.75-137.75,400580,,S,G/S,7/26/1996,,7/26/1996,7/26/1996,,,57.86666667,57.81666667,,,-137.7833333,-137.9,,,,,,,FALSE,,FALSE,,,0,0
19960401025,03,Gulf of Alaska,1996,1GP96,04,25,58.75-138,400580,,S,G/S,7/27/1996,,7/27/1996,7/27/1996,,,58.8,58.76666667,,,-138,-138.1333333,,,,,,,FALSE,,FALSE,,,0,0
19960401026,03,Gulf of Alaska,1996,1GP96,04,26,58.75-138.5,400580,,S,G/S,7/27/1996,,7/27/1996,7/27/1996,,,58.68333333,58.65,,,-138.5333333,-138.6666667,,,,,,,FALSE,,FALSE,,,0,0
19960401027,03,Gulf of Alaska,1996,1GP96,04,27,58.5-139.25,400580,,S,G/S,7/27/1996,,7/27/1996,7/27/1996,,,58.46666667,58.43333333,,,-139.3333333,-139.4666667,,,,,,,FALSE,,FALSE,,,0,0
19960401028,03,Gulf of Alaska,1996,1GP96,04,28,58.5-139.5,400580,,S,G/S,7/27/1996,,7/27/1996,7/28/1996,,,58.38333333,58.35,,,-139.55,-139.6666667,,,,,,,FALSE,,FALSE,,,0,0
19960401029,03,Gulf of Alaska,1996,1GP96,04,29,59.5-139.75,400580,,S,G/S,7/28/1996,,7/28/1996,7/28/1996,,,59.45,59.4,,,-139.7166667,-139.8333333,,,,,,,FALSE,,FALSE,,,0,0
19960401030,03,Gulf of Alaska,1996,1GP96,04,30,59.25-140.25,400580,,S,G/S,7/28/1996,,7/28/1996,7/28/1996,,,59.26666667,59.21666667,,,-140.25,-140.3666667,,,,,,,FALSE,,FALSE,,,0,0
19960401031,03,Gulf of Alaska,1996,1GP96,04,31,59-140.75,400580,,S,G/S,7/28/1996,,7/28/1996,7/28/1996,,,59.06666667,59.01666667,,,-140.7333333,-140.85,,,,,,,FALSE,,FALSE,,,0,0
19960401032,03,Gulf of Alaska,1996,1GP96,04,32,59-141,400580,,S,G/S,7/28/1996,,7/28/1996,7/29/1996,,,58.91666667,58.86666667,,,-141.1,-141.2166667,,,,,,,FALSE,,FALSE,,,0,0
19960401033,03,Gulf of Alaska,1996,1GP96,04,33,59.75-144.5,400580,,S,G/S,7/29/1996,,7/29/1996,7/29/1996,,,59.73333333,59.65,,,-144.5833333,-144.5833333,,,,,,,FALSE,,FALSE,,,0,0
19960401034,03,Gulf of Alaska,1996,1GP96,04,34,59.5-144.5,400580,,S,G/S,7/29/1996,,7/29/1996,7/29/1996,,,59.53333333,59.46666667,,,-144.5833333,-144.5833333,,,,,,,FALSE,,FALSE,,,0,0
19960401035,03,Gulf of Alaska,1996,1GP96,04,35,59-144.75,400580,,S,G/S,7/29/1996,,7/29/1996,7/29/1996,,,59.1,59.03333333,,,-144.6333333,-144.6166667,,,,,,,FALSE,,FALSE,,,0,0
19960401036,03,Gulf of Alaska,1996,1GP96,04,36,58.75-144.5,400580,,S,G/S,7/29/1996,,7/29/1996,7/29/1996,,,58.86666667,58.8,,,-144.6,-144.6,,,,,,,FALSE,,FALSE,,,0,0
19960401037,03,Gulf of Alaska,1996,1GP96,04,37,60.25-146.5,400580,,S,G/S,7/30/1996,,7/30/1996,7/30/1996,,,60.2,60.11666667,,,-146.6166667,-146.65,,,,,,,FALSE,,FALSE,,,0,0
19960401038,03,Gulf of Alaska,1996,1GP96,04,38,59.75-146.75,400580,,S,G/S,7/30/1996,,7/30/1996,7/30/1996,,,59.86666667,59.81666667,,,-146.7333333,-146.7166667,,,,,,,FALSE,,FALSE,,,0,0
19960401039,03,Gulf of Alaska,1996,1GP96,04,39,59.5-146.75,400580,,S,G/S,7/30/1996,,7/30/1996,7/30/1996,,,59.53333333,59.46666667,,,-146.6833333,-146.7166667,,,,,,,FALSE,,FALSE,,,0,0
19960401040,03,Gulf of Alaska,1996,1GP96,04,40,59.5-146.75,400580,,S,G/S,7/30/1996,,7/30/1996,7/31/1996,,,59.4,59.33333333,,,-146.7333333,-146.7,,,,,,,FALSE,,FALSE,,,0,0
19960401041,03,Gulf of Alaska,1996,1GP96,04,41,60-148.5,400580,,S,G/S,7/31/1996,,7/31/1996,7/31/1996,,,59.91666667,59.83333333,,,-148.45,-148.45,,,,,,,FALSE,,FALSE,,,0,0
19960401042,03,Gulf of Alaska,1996,1GP96,04,42,60-148.5,400580,,S,G/S,7/31/1996,,7/31/1996,7/31/1996,,,59.9,59.83333333,,,-148.45,-148.5,,,,,,,FALSE,,FALSE,,,0,0
19960401043,03,Gulf of Alaska,1996,1GP96,04,43,59.5-148.5,400580,,S,G/S,7/31/1996,,7/31/1996,7/31/1996,,,59.61666667,59.61666667,,,-148.4666667,-148.7166667,,,,,,,FALSE,,FALSE,,,0,0
19960401044,03,Gulf of Alaska,1996,1GP96,04,44,59.25-148.5,400580,,S,G/S,8/1/1996,,8/1/1996,8/1/1996,,,59.13333333,59.05,,,-148.4333333,-148.4666667,,,,,,,FALSE,,FALSE,,,0,0
19960401045,03,Gulf of Alaska,1996,1GP96,04,45,60-148.5,400580,,S,G/S,8/1/1996,,8/1/1996,8/1/1996,,,59.91666667,59.83333333,,,-148.45,-148.45,,,,,,,FALSE,,FALSE,,,0,0
19960401046,03,Gulf of Alaska,1996,1GP96,04,46,59.5-148.5,400580,,S,G/S,8/1/1996,,8/1/1996,8/1/1996,,,59.6,59.51666667,,,-148.4333333,-148.4666667,,,,,,,FALSE,,FALSE,,,0,0
19960401047,03,Gulf of Alaska,1996,1GP96,04,47,59.25-148.5,400580,,S,G/S,8/1/1996,,8/1/1996,8/1/1996,,,59.35,59.33333333,,,-148.5166667,-148.5333333,,,,,,,FALSE,,FALSE,,,0,0
19960401048,03,Gulf of Alaska,1996,1GP96,04,48,59.25-148.5,400580,,S,G/S,8/1/1996,,8/1/1996,8/1/1996,,,59.35,59.3,,,-148.55,-148.55,,,,,,,FALSE,,FALSE,,,0,0
19960401049,03,Gulf of Alaska,1996,1GP96,04,49,59.25-148.5,400580,,S,G/S,8/2/1996,,8/2/1996,8/2/1996,,,59.16666667,59.11666667,,,-148.5666667,-148.5833333,,,,,,,FALSE,,FALSE,,,0,0
19960401050,03,Gulf of Alaska,1996,1GP96,04,50,59.25-151,400580,,S,G/S,8/2/1996,,8/2/1996,8/2/1996,,,59.16666667,59.11666667,,,-150.9,-150.7833333,,,,,,,FALSE,,FALSE,,,0,0
19960401051,03,Gulf of Alaska,1996,1GP96,04,51,59-150.5,400580,,S,G/S,8/2/1996,,8/2/1996,8/2/1996,,,59,58.91666667,,,-150.6166667,-150.5,,,,,,,FALSE,,FALSE,,,0,0
19960401052,03,Gulf of Alaska,1996,1GP96,04,52,58.75-150.25,400580,,S,G/S,8/2/1996,,8/2/1996,8/2/1996,,,58.75,58.68333333,,,-150.2666667,-150.2,,,,,,,FALSE,,FALSE,,,0,0
19960401053,03,Gulf of Alaska,1996,1GP96,04,53,58.5-149.75,400580,,S,G/S,8/3/1996,,8/3/1996,8/3/1996,,,58.4,58.35,,,-149.7333333,-149.6333333,,,,,,,FALSE,,FALSE,,,0,0
19960401054,03,Gulf of Alaska,1996,1GP96,04,54,58.25-149.5,400580,,S,G/S,8/3/1996,,8/3/1996,8/3/1996,,,58.31666667,58.2,,,-149.45,-149.25,,,,,,,FALSE,,FALSE,,,0,0
19960401055,03,Gulf of Alaska,1996,1GP96,04,55,58-149,400580,,S,G/S,8/3/1996,,8/3/1996,8/3/1996,,,58.01666667,57.93333333,,,-148.9833333,-148.9,,,,,,,FALSE,,FALSE,,,0,0
19960401056,03,Gulf of Alaska,1996,1GP96,04,56,57.75-148.75,400580,,S,G/S,8/3/1996,,8/3/1996,8/3/1996,,,57.8,57.61666667,,,-148.7666667,-148.6333333,,,,,,,FALSE,,FALSE,,,0,0
19960401057,03,Gulf of Alaska,1996,1GP96,04,57,-150,400580,,S,G/S,,,,,,,,,,,-149.9,,,,,,,,FALSE,,FALSE,,,0,0
19960401058,03,Gulf of Alaska,1996,1GP96,04,58,56.5-150,400580,,S,G/S,8/4/1996,,8/4/1996,8/4/1996,,,56.46666667,56.6,,,-149.95,-150.05,,,,,,,FALSE,,FALSE,,,0,0
19960401059,03,Gulf of Alaska,1996,1GP96,04,59,57-150.25,400580,,S,G/S,8/4/1996,,8/4/1996,8/5/1996,,,56.9,57,,,-150.3333333,-150.45,,,,,,,FALSE,,FALSE,,,0,0
19960401060,03,Gulf of Alaska,1996,1GP96,04,60,57.25-150.75,400580,,S,G/S,8/5/1996,,8/5/1996,8/5/1996,,,57.25,57.31666667,,,-150.75,-150.7833333,,,,,,,FALSE,,FALSE,,,0,0
19960401061,03,Gulf of Alaska,1996,1GP96,04,61,58.25-151.75,400580,,S,G/S,8/5/1996,,8/5/1996,8/5/1996,,,58.15,58.16666667,,,-151.7833333,-151.8,,,,,,,FALSE,,FALSE,,,0,0
19960401062,03,Gulf of Alaska,1996,1GP96,04,62,56-154.75,400580,,S,G/S,8/8/1996,,8/8/1996,8/8/1996,,,55.9,55.93333333,,,-154.8666667,-154.9833333,,,,,,,FALSE,,FALSE,,,0,0
19960401063,03,Gulf of Alaska,1996,1GP96,04,63,56.5-157,400580,,S,G/S,8/8/1996,,8/8/1996,8/8/1996,,,56.51666667,56.46666667,,,-156.9166667,-156.8,,,,,,,FALSE,,FALSE,,,0,0
19960401064,03,Gulf of Alaska,1996,1GP96,04,64,56.5-156.75,400580,,S,G/S,8/8/1996,,8/8/1996,8/8/1996,,,56.43333333,56.38333333,,,-156.7,-156.5833333,,,,,,,FALSE,,FALSE,,,0,0
19960401065,03,Gulf of Alaska,1996,1GP96,04,65,56.25-156.5,400580,,S,G/S,8/8/1996,,8/8/1996,8/8/1996,,,56.35,56.31666667,,,-156.5166667,-156.4,,,,,,,FALSE,,FALSE,,,0,0
19960401066,03,Gulf of Alaska,1996,1GP96,04,66,56.25-156,400580,,S,G/S,8/8/1996,,8/8/1996,8/8/1996,,,56.15,56.1,,,-156.0166667,-155.9,,,,,,,FALSE,,FALSE,,,0,0
19960401067,03,Gulf of Alaska,1996,1GP96,04,67,56-155.75,400580,,S,G/S,8/8/1996,,8/8/1996,8/9/1996,,,56.06666667,56.01666667,,,-155.7666667,-155.65,,,,,,,FALSE,,FALSE,,,0,0
19960401068,03,Gulf of Alaska,1996,1GP96,04,68,55.25-156.75,400580,,S,G/S,8/9/1996,,8/9/1996,8/9/1996,,,55.16666667,55.21666667,,,-156.7,-156.8166667,,,,,,,FALSE,,FALSE,,,0,0
19960401069,03,Gulf of Alaska,1996,1GP96,04,69,55.5-157.75,400580,,S,G/S,8/9/1996,,8/9/1996,8/9/1996,,,55.53333333,55.56666667,,,-157.65,-157.75,,,,,,,FALSE,,FALSE,,,0,0
19960401070,03,Gulf of Alaska,1996,1GP96,04,70,55.75-158,400580,,S,G/S,8/9/1996,,8/9/1996,8/9/1996,,,55.65,55.68333333,,,-158.0333333,-158.15,,,,,,,FALSE,,FALSE,,,0,0
19960401071,03,Gulf of Alaska,1996,1GP96,04,71,55.75-158.75,400580,,S,G/S,8/10/1996,,8/10/1996,8/10/1996,,,55.81666667,55.76666667,,,-158.6666667,-158.55,,,,,,,FALSE,,FALSE,,,0,0
19960401072,03,Aleutian Islands,1996,1GP96,04,72,54.25-164.75,400580,,S,G/S,8/11/1996,,8/11/1996,8/11/1996,,,54.35,54.28333333,,,-164.7,-164.5833333,,,,,,,FALSE,,FALSE,,,0,0
19960401073,03,Aleutian Islands,1996,1GP96,04,73,54-164.5,400580,,S,G/S,8/11/1996,,8/11/1996,8/11/1996,,,54.11666667,54.03333333,,,-164.4333333,-164.3833333,,,,,,,FALSE,,FALSE,,,0,0
19960401074,03,Aleutian Islands,1996,1GP96,04,74,53.75-164.25,400580,,S,G/S,8/11/1996,,8/11/1996,8/11/1996,,,53.76666667,53.7,,,-164.2666667,-164.2333333,,,,,,,FALSE,,FALSE,,,0,0
19960401075,03,Aleutian Islands,1996,1GP96,04,75,53.5-164.25,400580,,S,G/S,8/12/1996,,8/12/1996,8/12/1996,,,53.6,53.53333333,,,-164.3,-164.2666667,,,,,,,FALSE,,FALSE,,,0,0
19960401076,03,Aleutian Islands,1996,1GP96,04,76,52.75-169.25,400580,,S,G/S,8/12/1996,,8/12/1996,8/13/1996,,,52.73333333,52.66666667,,,-169.2,-169.1666667,,,,,,,FALSE,,FALSE,,,0,0
19960401077,03,Aleutian Islands,1996,1GP96,04,77,52.75-169.25,400580,,S,G/S,8/13/1996,,8/13/1996,8/13/1996,,,52.65,52.6,,,-169.15,-169.1,,,,,,,FALSE,,FALSE,,,0,0
19960401078,03,Aleutian Islands,1996,1GP96,04,78,52.5-169,400580,,S,G/S,8/13/1996,,8/13/1996,8/13/1996,,,52.46666667,52.4,,,-168.9666667,-168.9,,,,,,,FALSE,,FALSE,,,0,0
19960401079,03,Aleutian Islands,1996,1GP96,04,79,52.5-171.25,400580,,S,G/S,8/13/1996,,8/13/1996,8/13/1996,,,52.55,52.61666667,,,-171.25,-171.2666667,,,,,,,FALSE,,FALSE,,,0,0
19960401080,03,Aleutian Islands,1996,1GP96,04,80,52.75-171.25,400580,,S,G/S,8/13/1996,,8/13/1996,8/13/1996,,,52.76666667,52.83333333,,,-171.2666667,-171.25,,,,,,,FALSE,,FALSE,,,0,0
19960401081,03,Aleutian Islands,1996,1GP96,04,81,53-171.25,400580,,S,G/S,8/13/1996,,8/13/1996,8/13/1996,,,53.01666667,53.1,,,-171.2666667,-171.2666667,,,,,,,FALSE,,FALSE,,,0,0
19960401082,03,Aleutian Islands,1996,1GP96,04,82,53.5-171.25,400580,,S,G/S,8/14/1996,,8/14/1996,8/14/1996,,,53.45,53.53333333,,,-171.2833333,-171.2666667,,,,,,,FALSE,,FALSE,,,0,0
19960401083,03,Aleutian Islands,1996,1GP96,04,83,52.25-172.5,400580,,S,G/S,8/14/1996,,8/14/1996,8/14/1996,,,52.21666667,52.15,,,-172.5166667,-172.5666667,,,,,,,FALSE,,FALSE,,,0,0
19960401084,03,Aleutian Islands,1996,1GP96,04,84,52-172.5,400580,,S,G/S,8/14/1996,,8/14/1996,8/14/1996,,,52.01666667,52.01666667,,,-172.5666667,-172.5666667,,,,,,,FALSE,,FALSE,,,0,0
19960401085,03,Aleutian Islands,1996,1GP96,04,85,52-172.5,400580,,S,G/S,8/14/1996,,8/14/1996,8/14/1996,,,52,51.91666667,,,-172.5833333,-172.5833333,,,,,,,FALSE,,FALSE,,,0,0
19960401086,03,Aleutian Islands,1996,1GP96,04,86,51.75-172.5,400580,,S,G/S,8/14/1996,,8/14/1996,8/14/1996,,,51.75,51.66666667,,,-172.5333333,-172.5333333,,,,,,,FALSE,,FALSE,,,0,0
19960401087,03,Aleutian Islands,1996,1GP96,04,87,51.5-172.5,400580,,S,G/S,8/15/1996,,8/15/1996,8/15/1996,,,51.5,51.43333333,,,-172.5333333,-172.5333333,,,,,,,FALSE,,FALSE,,,0,0
19960401088,03,Aleutian Islands,1996,1GP96,04,88,51.75-176.5,400580,,S,G/S,8/15/1996,,8/15/1996,8/15/1996,,,51.7,51.63333333,,,-176.3833333,-176.4,,,,,,,FALSE,,FALSE,,,0,0
19960401089,03,Aleutian Islands,1996,1GP96,04,89,51.75-176.5,400580,,S,G/S,8/15/1996,,8/15/1996,8/15/1996,,,51.65,51.56666667,,,-176.4,-176.4,,,,,,,FALSE,,FALSE,,,0,0
19960401090,03,Aleutian Islands,1996,1GP96,04,90,51.25-176.5,400580,,S,G/S,8/16/1996,,8/16/1996,8/16/1996,,,51.21666667,51.15,,,-176.4,-176.4166667,,,,,,,FALSE,,FALSE,,,0,0
19960401091,03,Aleutian Islands,1996,1GP96,04,91,52-176.5,400580,,S,G/S,8/16/1996,,8/16/1996,8/16/1996,,,51.88333333,51.96666667,,,-176.4,-176.4,,,,,,,FALSE,,FALSE,,,0,0
19960401092,03,Aleutian Islands,1996,1GP96,04,92,52-176.5,400580,,S,G/S,8/16/1996,,8/16/1996,8/16/1996,,,51.96666667,52.03333333,,,-176.3833333,-176.3833333,,,,,,,FALSE,,FALSE,,,0,0
19960401093,03,Aleutian Islands,1996,1GP96,04,93,52.25-176.25,400580,,S,G/S,8/16/1996,,8/16/1996,8/16/1996,,,52.21666667,52.28333333,,,-176.3666667,-176.3666667,,,,,,,FALSE,,FALSE,,,0,0
19960401094,03,Aleutian Islands,1996,1GP96,04,94,52.75-176.5,400580,,S,G/S,8/17/1996,,8/17/1996,8/17/1996,,,52.7,52.76666667,,,-176.3833333,-176.3833333,,,,,,,FALSE,,FALSE,,,0,0
19960401095,03,Aleutian Islands,1996,1GP96,04,95,50.75-176.5,400580,,S,G/S,8/17/1996,,8/17/1996,8/17/1996,,,50.71666667,50.8,,,-176.4,-176.4,,,,,,,FALSE,,FALSE,,,0,0
19960401096,03,Aleutian Islands,1996,1GP96,04,96,51.25-176.5,400580,,S,G/S,8/17/1996,,8/17/1996,8/17/1996,,,51.15,51.21666667,,,-176.4,-176.4,,,,,,,FALSE,,FALSE,,,0,0
19960401097,03,Aleutian Islands,1996,1GP96,04,97,51.5-176.5,400580,,S,G/S,8/18/1996,,8/18/1996,8/18/1996,,,51.55,51.61666667,,,-176.4,-176.4,,,,,,,FALSE,,FALSE,,,0,0
19960401098,03,Aleutian Islands,1996,1GP96,04,98,51.75-176.5,400580,,S,G/S,8/18/1996,,8/18/1996,8/18/1996,,,51.7,51.63333333,,,-176.3833333,-176.4,,,,,,,FALSE,,FALSE,,,0,0
19960401099,03,Aleutian Islands,1996,1GP96,04,99,51.5-180,400580,,S,G/S,8/18/1996,,8/18/1996,8/18/1996,,,51.46666667,51.5,,,-179.9166667,-179.9666667,,,,,,,FALSE,,FALSE,,,0,0
19960401100,03,Aleutian Islands,1996,1GP96,04,100,51.75-179.75,400580,,S,G/S,8/19/1996,,8/19/1996,8/19/1996,,,51.86666667,51.81666667,,,-179.7,-179.7666667,,,,,,,FALSE,,FALSE,,,0,0
19960401101,03,Aleutian Islands,1996,1GP96,04,101,52-180,400580,,S,G/S,8/19/1996,,8/19/1996,8/19/1996,,,51.98333333,52.05,,,-179.9833333,-179.9333333,,,,,,,FALSE,,FALSE,,,0,0
19960401102,03,Aleutian Islands,1996,1GP96,04,102,55-164.5,400580,,S,G/S,8/21/1996,,8/21/1996,8/21/1996,,,54.93333333,54.98333333,,,-164.55,-164.6166667,,,,,,,FALSE,,FALSE,,,0,0
19960401103,03,Aleutian Islands,1996,1GP96,04,103,55-165,400580,,S,G/S,8/21/1996,,8/21/1996,8/22/1996,,,54.95,54.96666667,,,-165.0833333,-165.2166667,,,,,,,FALSE,,FALSE,,,0,0
19960401104,03,Aleutian Islands,1996,1GP96,04,104,55-166,400580,,S,G/S,8/22/1996,,8/22/1996,8/22/1996,,,54.95,54.95,,,-165.9833333,-166.1166667,,,,,,,FALSE,,FALSE,,,0,0
19960401105,03,Aleutian Islands,1996,1GP96,04,105,56-162,400580,,S,G/S,8/22/1996,,8/22/1996,8/22/1996,,,55.91666667,55.95,,,-161.9166667,-162.0166667,,,,,,,FALSE,,FALSE,,,0,0
19960401106,03,Aleutian Islands,1996,1GP96,04,106,56-162,400580,,S,G/S,8/22/1996,,8/22/1996,8/23/1996,,,55.98333333,56.01666667,,,-162,-162.0833333,,,,,,,FALSE,,FALSE,,,0,0
19960401107,03,Aleutian Islands,1996,1GP96,04,107,56-162.25,400580,,S,G/S,8/23/1996,,8/23/1996,8/23/1996,,,56.01666667,56.05,,,-162.1333333,-162.2166667,,,,,,,FALSE,,FALSE,,,0,0
19970401001,03,Gulf of Alaska,1997,1GP97,04,1,58.75-144.5,400580,,S,G/S,7/23/1997,,7/23/1997,7/23/1997,,,58.81666667,58.83333333,,,-144.6166667,-144.6166667,,4.5,,,,43.708,FALSE,8.778,FALSE,237.744,,0,0
19970401002,03,Gulf of Alaska,1997,1GP97,04,2,59-144.75,400580,,S,G/S,7/23/1997,,7/23/1997,7/23/1997,,,58.96666667,58.78333333,,,-144.6333333,-144.5833333,,5,,,,42.062,FALSE,9.144,FALSE,292.608,,0,0
19970401003,03,Gulf of Alaska,1997,1GP97,04,3,59.25-144.5,400580,,S,G/S,7/23/1997,,7/23/1997,7/23/1997,,,59.13333333,59.16666667,,,-144.6,-144.6,,4.7,,,,43.891,FALSE,9.144,FALSE,384.048,,0,0
19970401004,03,Gulf of Alaska,1997,1GP97,04,4,59.25-144.5,400580,,S,G/S,7/23/1997,,7/23/1997,7/23/1997,,,59.31666667,59.35,,,-144.5833333,-144.5833333,,,,,,,FALSE,,FALSE,,,0,0
19970401005,03,Gulf of Alaska,1997,1GP97,04,5,59.5-144.5,400580,,S,G/S,7/24/1997,,7/24/1997,7/24/1997,,,59.45,59.5,,,-144.5666667,-144.5333333,,4.8,,,,47.548,FALSE,8.229,FALSE,338.328,,0,0
19970401006,03,Gulf of Alaska,1997,1GP97,04,6,59.5-144.5,400580,,S,G/S,7/24/1997,,7/24/1997,7/24/1997,,,59.58333333,59.61666667,,,-144.6166667,-144.6,,,,,,,FALSE,,FALSE,329.184,,0,0
